,open,close,high,low
2016/9/14,3008.9,3002.85,3017.94,2995.42
2016/9/19,3005.32,3026.05,3026.65,3005.32
2016/9/20,3027.17,3023,3027.82,3015.88
2016/9/21,3021.58,3025.87,3032.45,3017.54
2016/9/22,3038.42,3042.31,3054.44,3035.07
2016/9/23,3044.79,3033.9,3046.8,3032.8
2016/9/26,3028.24,2980.43,3028.24,2980.12
2016/9/27,2974.59,2998.17,2998.23,2969.13
2016/9/28,3000.7,2987.86,3000.7,2984.32
2016/9/29,2992.17,2998.48,3009.2,2991.91
2016/9/30,2994.25,3004.7,3009.2,2993.06
2016/10/10,3020.46,3048.14,3048.24,3014.62
2016/10/11,3051.62,3065.25,3066.1,3048.02
2016/10/12,3057.32,3058.5,3060.51,3048.89
2016/10/13,3057.97,3061.35,3065,3052.64
2016/10/14,3056.99,3063.81,3064.79,3043.18
2016/10/17,3064.69,3041.17,3068.81,3033.75
2016/10/18,3037.4,3083.88,3084.19,3037.4
2016/10/19,3085.75,3084.72,3096.22,3076.77
2016/10/20,3084.91,3084.46,3089.68,3076.29
2016/10/21,3081.39,3090.94,3101.85,3069.27
2016/10/24,3092.05,3128.25,3137.03,3090.79
2016/10/25,3127.97,3131.94,3132.5,3121.05
2016/10/26,3129.84,3116.31,3129.84,3110.39
2016/10/27,3112.6,3112.35,3114.76,3100.39
2016/10/28,3111.7,3104.27,3128.64,3101.24
2016/10/31,3097.19,3100.49,3102.3,3081.07
2016/11/1,3101.66,3122.44,3122.61,3097.04
2016/11/2,3115.73,3102.73,3118.98,3099.82
2016/11/3,3096.76,3128.94,3140.93,3094.1
2016/11/4,3126.35,3125.32,3141.33,3119.54
2016/11/7,3124.89,3133.33,3139.2,3117.1
2016/11/8,3140.94,3147.89,3156.88,3134.95
2016/11/9,3146.08,3128.37,3146.95,3096.95
2016/11/10,3148.54,3171.28,3172.31,3148.54
2016/11/11,3169.4,3196.04,3202.74,3166.07
2016/11/14,3187.71,3210.37,3221.46,3186.8
2016/11/15,3209.95,3206.99,3214.29,3195.04
2016/11/16,3208.5,3205.06,3210.89,3195.41
2016/11/17,3198.5,3208.45,3211.05,3187.21
2016/11/18,3207.19,3192.86,3212.39,3187.5
2016/11/21,3188.5,3218.15,3229.76,3188.28
2016/11/22,3220.98,3248.35,3249.68,3220.98
2016/11/23,3247.94,3241.14,3262.88,3231.59
2016/11/24,3237.43,3241.74,3257.86,3232.87
2016/11/25,3241.24,3261.94,3262.44,3209.6
2016/11/28,3270.05,3277,3288.34,3267.67
2016/11/29,3269.23,3282.92,3301.21,3263.4
2016/11/30,3272.14,3250.03,3277.27,3239.52
2016/12/1,3257.03,3273.31,3279.67,3256.26
2016/12/2,3270.12,3243.84,3279.71,3235.28
2016/12/5,3203.78,3204.71,3219.52,3194.88
2016/12/6,3202.03,3199.65,3215.31,3196.52
2016/12/7,3198.47,3222.24,3222.43,3189.49
2016/12/8,3225.55,3215.37,3228.12,3211.47
2016/12/9,3209.34,3232.88,3244.8,3207.04
2016/12/12,3233.67,3152.97,3245.09,3149.9
2016/12/13,3138.99,3155.04,3162.5,3118.71
2016/12/14,3149.38,3140.53,3170.02,3136.35
2016/12/15,3125.76,3117.68,3138.78,3100.91
2016/12/16,3111.51,3122.98,3128.87,3106.35
2016/12/19,3120.7,3118.08,3125.28,3110.08
2016/12/20,3115.9,3102.88,3117.01,3084.8
2016/12/21,3107.24,3137.43,3140.25,3107.24
2016/12/22,3132.16,3139.56,3143.17,3126.89
2016/12/23,3134.93,3110.15,3138.4,3103.75
2016/12/26,3095.58,3122.57,3122.88,3068.41
2016/12/27,3117.39,3114.66,3127.88,3113.75
2016/12/28,3113.77,3102.24,3118.78,3094.55
2016/12/29,3095.84,3096.1,3111.8,3087.34
2016/12/30,3097.35,3103.64,3108.84,3089.99
2017/1/3,3105.31,3135.92,3136.46,3105.31
2017/1/4,3133.79,3158.79,3160.1,3130.11
2017/1/5,3157.91,3165.41,3168.5,3154.28
2017/1/6,3163.78,3154.32,3172.03,3153.03
2017/1/9,3148.53,3171.24,3173.14,3147.74
2017/1/10,3167.57,3161.67,3174.58,3157.33
2017/1/11,3156.69,3136.75,3167.03,3136.27
2017/1/12,3133.6,3119.29,3144.97,3115.98
2017/1/13,3116.08,3112.76,3130.51,3102.16
2017/1/16,3104.49,3103.43,3105.14,3044.29
2017/1/17,3087.03,3108.77,3108.91,3072.34
2017/1/18,3104.77,3113.01,3123.72,3098.59
2017/1/19,3104.97,3101.3,3115.78,3094.01
2017/1/20,3095.82,3123.14,3125.66,3095.21
2017/1/23,3125.42,3136.77,3145.84,3125.42
2017/1/24,3134.59,3142.55,3149.53,3131.22
2017/1/25,3137.65,3149.55,3151.47,3133.19
2017/1/26,3149.22,3159.17,3163.1,3148.91
2017/2/3,3160.08,3140.17,3162.68,3136.01
2017/2/6,3143.09,3156.98,3158.84,3135.39
2017/2/7,3154.4,3153.09,3159.54,3140.04
2017/2/8,3148.09,3166.98,3167.45,3132.03
2017/2/9,3164.69,3183.18,3186.84,3162.57
2017/2/10,3183.01,3196.7,3205.05,3182.8
