,index,balance,net_worth,open_amount,price_x,step,symbol,type,amount,price_y
141,141,8610.490040366401,33158997.145451013,1.7763568394002505e-15,3822.688787877385,,,,,
142,142,2247.610730182625,8661878.910906289,1.6441529800000019,3870.0044263422346,142,ETH/BTC,TradeType.MARKET_BUY,1.64415298,3870.0044263422346
143,143,1143.1670462746213,4409767.8359740665,1.930270330000002,3860.107343745508,143,ETH/BTC,TradeType.MARKET_BUY,0.28611735,3860.107343745508
144,144,4850.025523563446,18681164.061608825,0.9651351600000019,3840.766135679031,144,ETH/BTC,TradeType.MARKET_SELL,0.96513517,3840.766135679031
145,145,8554.648578465445,32943951.67567043,1.887379141862766e-15,3838.45,145,ETH/BTC,TradeType.LIMIT_SELL,0.96513516,3838.45
146,146,8554.648578465445,32926842.378513496,1.887379141862766e-15,3848.0,,,,,
147,147,8554.648578465445,32909733.081356566,1.887379141862766e-15,3846.0,,,,,
148,148,8554.648578465445,32909733.081356566,1.887379141862766e-15,3845.2710912564207,,,,,
149,149,102.61371733501619,403140.2202028673,2.180252110000002,3876.6318914973685,149,ETH/BTC,TradeType.MARKET_BUY,2.18025211,3876.6318914973685
150,150,102.61371733501619,403349.8081417573,2.180252110000002,3848.0,,,,,
151,151,8485.67308513792,32661355.704695854,1.7763568394002505e-15,3844.9954156003105,151,ETH/BTC,TradeType.LIMIT_SELL,2.18025211,3844.9954156003105
152,152,6389.753712972402,24596241.451214854,0.5403872100000018,3878.55103411037,152,ETH/BTC,TradeType.MARKET_BUY,0.54038721,3878.55103411037
153,153,6389.753712972402,24609022.03941522,0.5403872100000018,3850.0,,,,,
154,154,6389.753712972402,24609022.03941522,0.5403872100000018,3850.0,,,,,
155,155,6909.3526338667725,26609477.36109944,0.40529041000000177,3846.1230828144694,155,ETH/BTC,TradeType.LIMIT_SELL,0.1350968,3846.1230828144694
156,156,5203.989948504658,20043818.793211937,0.8450653300000017,3877.8079599494095,156,ETH/BTC,TradeType.MARKET_BUY,0.43977492,3877.8079599494095
157,157,1376.443596946227,5307763.49885942,1.8387550700000017,3851.852542583796,157,ETH/BTC,TradeType.MARKET_BUY,0.99368974,3851.852542583796
158,158,3145.8451411512224,12119959.043828357,1.3790663000000016,3849.1293668213716,158,ETH/BTC,TradeType.MARKET_SELL,0.45968877,3849.1293668213716
159,159,2374.6620290352553,9146151.684689257,1.5794009700000016,3849.4740431896635,159,ETH/BTC,TradeType.LIMIT_BUY,0.20033467,3849.4740431896635
160,160,8433.970674401455,32462353.125771202,1.5543122344752192e-15,3836.46,160,ETH/BTC,TradeType.LIMIT_SELL,1.57940097,3836.46
161,161,8433.970674401455,32462353.125771202,1.5543122344752192e-15,3848.0,,,,,
162,162,8433.970674401455,32462353.125771202,1.5543122344752192e-15,3848.0,,,,,
163,163,8433.970674401455,32445485.184422396,1.5543122344752192e-15,3818.3951939114377,,,,,
164,164,8433.970674401455,32462353.125771202,1.5543122344752192e-15,3848.0,,,,,
165,165,8433.970674401455,32462353.125771202,1.5543122344752192e-15,3823.045665812707,,,,,
166,166,8433.970674401455,32462353.125771202,1.5543122344752192e-15,3832.8743898006173,,,,,
167,167,8433.970674401455,32462353.125771202,1.5543122344752192e-15,3848.0,,,,,
168,168,8433.970674401455,32462353.125771202,1.5543122344752192e-15,3829.111912042394,,,,,
169,169,4273.7914175320175,16453956.646776496,1.0741893700000016,3872.854613027345,169,ETH/BTC,TradeType.MARKET_BUY,1.07418937,3872.854613027345
170,170,4273.7914175320175,16453956.646776496,1.0741893700000016,3848.0,,,,,
171,171,8392.727589222217,32286823.03573787,1.5543122344752192e-15,3834.46,171,ETH/BTC,TradeType.LIMIT_SELL,1.07418937,3834.46
172,172,8392.727589222217,32286823.03573787,1.5543122344752192e-15,3831.781509664549,,,,,
173,173,8392.727589222217,32270037.580559425,1.5543122344752192e-15,3844.0,,,,,
174,174,8392.727589222217,32253252.12538098,1.5543122344752192e-15,3816.332262632025,,,,,
175,175,2171.1520150996075,8349907.095253192,1.6059087000000016,3874.1776379457992,175,ETH/BTC,TradeType.MARKET_BUY,1.6059087,3874.1776379457992
176,176,35.94409994322314,146431.23621830653,2.1598282500000017,3854.7256820171524,176,ETH/BTC,TradeType.MARKET_BUY,0.55391955,3854.7256820171524
177,177,35.94409994322314,146431.23621830653,2.1598282500000017,3842.0,,,,,
178,178,35.94409994322314,146431.23621830653,2.1598282500000017,3842.0,,,,,
