,trades,active_holds,passive_holds
932,9627,0,2675
933,9722,0,2589
934,9785,0,2562
935,9923,0,2952
936,9885,0,2493
937,9793,0,2545
938,9865,0,2509
939,9763,0,2647
940,9731,0,2621
941,9776,0,2549
942,9853,0,2579
943,9864,0,2524
944,9762,0,2616
945,9915,0,2455
946,9731,0,2973
947,9713,0,2620
948,9764,0,2607
949,9759,0,2600
950,9763,0,2567
951,9820,0,2550
952,9756,0,2622
953,9891,0,2501
954,9733,0,2604
955,9762,0,2602
956,9804,0,2593
957,9279,0,3113
958,9921,0,2480
959,9735,0,2617
960,9792,0,2601
961,9718,0,2610
962,9698,0,2644
963,9792,0,2603
964,9730,0,2629
965,9779,0,2508
966,9791,0,2514
967,9777,0,2637
968,9023,0,3186
969,9559,0,2656
970,9914,0,2478
971,9602,0,2600
972,9670,0,2563
973,9666,0,2602
974,9691,0,2616
975,9712,0,2550
976,9638,0,2578
977,9558,0,2691
978,9653,0,2644
979,8942,0,3210
980,9499,0,2695
981,9630,0,2606
982,9496,0,2706
983,9573,0,2608
984,9519,0,2689
985,9518,0,2674
986,9567,0,2657
987,9520,0,2643
988,9596,0,2570
989,9565,0,2632
990,9113,0,3223
991,9715,0,2668
992,9760,0,2588
993,9680,0,2657
994,9707,0,2682
995,9691,0,2661
996,9639,0,2721
997,9752,0,2665
998,9670,0,2679
999,9705,0,2682
1000,9735,0,2655
1001,8971,0,3249
1002,9610,0,2664
1003,9568,0,2686
1004,9542,0,2702
1005,9563,0,2682
1006,9659,0,2644
1007,9612,0,2661
1008,9626,0,2675
1009,9597,0,2693
1010,9601,0,2682
1011,9614,0,2656
1012,8967,0,3270
1013,9520,0,2685
1014,9381,0,2794
1015,9435,0,2813
1016,9375,0,2839
1017,9465,0,2759
1018,9533,0,2723
1019,9445,0,2772
1020,9442,0,2772
1021,9433,0,2758
1022,9425,0,2746
1023,8990,0,3275
1024,9571,0,2692
1025,9329,0,2859
1026,9409,0,2781
1027,9492,0,2747
1028,9412,0,2807
1029,9435,0,2753
1030,9471,0,2770
1031,9378,0,2870
1032,9564,0,2743
1033,9505,0,2749
1034,8924,0,3267
1035,9305,0,2804
1036,9392,0,2756
1037,9324,0,2800
1038,9341,0,2770
1039,9407,0,2757
1040,9382,0,2773
1041,9470,0,2743
1042,9354,0,2814
1043,9331,0,2770
1044,9469,0,2761
1045,8886,0,3283
1046,9371,0,2763
1047,9343,0,2746
1048,9318,0,2859
1049,9266,0,2805
1050,9452,0,2690
1051,9413,0,2732
1052,9406,0,2747
1053,9409,0,2773
1054,9343,0,2719
1055,9338,0,2756
1056,9052,0,3224
1057,9462,0,2756
1058,9405,0,2751
1059,9561,0,2673
1060,9514,0,2720
1061,9536,0,2681
1062,9497,0,2712
1063,9394,0,2821
1064,9496,0,2722
1065,9577,0,2701
1066,9618,0,2631
1067,9068,0,3236
1068,9475,0,2764
1069,9572,0,2693
1070,9598,0,2678
1071,9490,0,2758
1072,9538,0,2734
1073,9534,0,2706
1074,9561,0,2706
1075,9548,0,2696
1076,9508,0,2723
1077,9554,0,2700
1078,9076,0,3249
1079,9567,0,2729
1080,9521,0,2820
1081,9457,0,2816
1082,9502,0,2789
1083,9579,0,2738
1084,9533,0,2816
1085,9661,0,2737
1086,9621,0,2698
1087,9526,0,2761
1088,9578,0,2697
1089,9054,0,3241
1090,9524,0,2685
1091,9507,0,2706
1092,9485,0,2738
1093,9431,0,2828
1094,9540,0,2745
1095,9467,0,2777
1096,9468,0,2793
1097,9405,0,2861
1098,9507,0,2750
1099,9475,0,2803
