,balance,net_worth
98,9994.225926592337,9997.507068611989
99,9994.651534798477,9997.382936241078
100,9994.651534798477,9997.519200071943
101,9996.506878154127,9998.952766653843
102,9996.201978006855,9998.962917240962
103,9996.511244938394,9999.026114555014
104,9996.975145335715,9999.48418293145
105,9996.975145335715,9999.669487842197
106,9997.10112510955,9999.825166633173
107,9996.771252160812,9999.739255443503
108,9996.771252160812,9999.820103769376
109,9996.771252160812,9999.496148431896
110,9995.539499268492,9999.554159582132
111,10001.725042302542,10004.360006394018
112,10001.725042302542,10004.493100152768
113,10001.057054705343,10004.391904914713
114,9999.819423894824,10003.461272608985
115,10000.308928212009,10003.448868264246
116,10001.70132487144,10004.467919292229
117,10001.041750411907,10004.45773916375
118,10000.704161871934,10004.555508789705
119,10004.881344086263,10007.467884218639
120,10003.991537275677,10007.25720154028
121,10005.848693375177,10008.84579091315
122,10004.924118005685,10008.777372306808
123,10005.297704431217,10009.116988455575
124,10005.297704431217,10009.00163457256
125,10001.583237658448,10005.947479660033
126,10002.0490081814,10005.82113846611
127,10001.769117410095,10005.613363894672
128,10000.6120912204,10005.761205319981
129,9999.37451547411,10005.203210747237
130,9998.101721453844,10005.337639944077
131,10000.318612117413,10004.981733693745
132,9997.843533260913,10003.202565619302
133,9995.369066986434,10001.16847180451
134,9995.369066986434,10001.100587060222
135,9991.658286220314,9998.437062187062
136,9990.86138270799,9997.582879670254
137,9988.38864451577,9996.313694588694
138,9987.79755023587,9996.453183045023
139,9987.202708060628,9996.523085362614
140,9984.730875390378,9993.366443112785
141,9987.927177529416,9993.183020237067
142,9995.778766326866,9999.335906795011
143,9995.778766326866,9998.825392043807
144,9997.741663526227,10000.871412248196
145,9996.958900760046,10001.085407059178
146,10006.559253950716,10008.802264271706
147,10005.320942243035,10007.735801110417
148,10004.183558079043,10007.891901547975
149,9999.231487217792,10003.680409507027
150,10007.588749544302,10010.205929398333
151,10010.374503653133,10012.464362306713
152,10010.374503653133,10012.546656587423
153,10009.614464413205,10012.413105675672
154,10009.614464413205,10012.569207510263
155,10013.330815947686,10015.357842688754
156,10012.62032872694,10015.227166498275
157,10016.33777779236,10018.255386242297
158,10012.61921239235,10015.11505533292
159,10013.177533934539,10015.37371004852
160,10013.177533934539,10015.259097018343
161,10009.46014177507,10012.435181630883
162,10008.775616627461,10012.13877108034
163,10009.472775408729,10011.856181590769
164,10006.995430896819,10010.19206744393
165,10006.011647333995,10010.299563183222
166,10014.720894866805,10017.330540182475
167,10014.874298227565,10017.465340138308
168,10009.916935449945,10013.235645180464
169,10006.200753787654,10009.947968102191
170,10017.051610110764,10018.621319886377
171,10017.051610110764,10018.746259364736
172,10017.051610110764,10018.835488574025
173,10014.572389837263,10016.730910481396
174,10013.843089541602,10017.002060368426
175,10013.843089541602,10016.613788329525
176,10013.176019158193,10016.75104549014
177,10008.219497028713,10012.519621435335
178,10007.67216265724,10011.852368231874
179,10021.61229501072,10024.05554160605
180,10021.61229501072,10024.119032485913
181,10022.21176350504,10024.145285858534
182,10022.321066160857,10024.335604932457
183,10022.466275872877,10024.443443495891
184,10022.528141441939,10024.460505098308
185,10022.528141441939,10024.395265565701
186,10022.582595083948,10024.340406050982
187,10021.883550199518,10024.451995073015
188,10022.053851741934,10024.387149062446
189,10022.053851741934,10024.269442251983
190,10022.053851741934,10024.013061099378
191,10022.053851741934,10024.202668670068
192,10021.41983157552,10024.23671949966
193,10021.41983157552,10024.122471715375
194,10016.45922875889,10020.084199771247
195,10017.773042039877,10019.753179433512
196,10018.492591626247,10020.387850891579
197,10016.013014709817,10018.512583350448
198,10016.013014709817,10018.11848497766
199,10016.013014709817,10018.446401543286
200,10016.81159133599,10018.53651040813
201,10016.214409104441,10018.409272489718
202,10018.073779756081,10020.116146501769
203,10018.162260488352,10020.351745962895
204,10019.556788477083,10021.247529977341
205,10019.111825668195,10021.340432231817
206,10016.632095491344,10019.2206044979
207,10015.856092324115,10018.951126507427
208,10015.856092324115,10018.963451088426
209,10018.335543166435,10021.161042228323
210,10018.335543166435,10021.322173684242
211,10014.616236096035,10018.654215215456
212,10022.984480794044,10025.437877473725
213,10025.076541968554,10026.990853171996
214,10025.250880399764,10027.180026986898
215,10024.772774675295,10027.274787189268
216,10023.915318104944,10027.010512956032
217,10018.953480022485,10022.931941067662
218,10018.312666617852,10022.906027181507
219,10021.158153478804,10022.873669018925
220,10020.273661031511,10022.94399146155
221,10021.16544886456,10022.975424244807
222,10017.44509119167,10020.276434062062
223,10018.37518060989,10020.537205311526
224,10018.37518060989,10020.900902425756
225,10017.634426240167,10020.904410036488
226,10017.634426240167,10021.077003576502
227,10018.301181288458,10021.030769604808
228,10018.301181288458,10020.830710237571
229,10017.520642582747,10021.078928849105
230,10017.868627891106,10020.915192045439
231,10017.868627891106,10021.128015898512
232,10021.791553141356,10024.183962981971
233,10023.099194891436,10025.142515769438
234,10022.376616778918,10025.03764596286
235,10018.655809459939,10021.819171024063
236,10018.655809459939,10021.989212394152
237,10019.028913643344,10022.159808740344
238,10019.028913643344,10022.34583545708
