,index,balance,net_worth,open_amount,price
240,240,6129.328959999972,9492.528959999972,0.4,8408.0
241,241,5285.875999999971,9501.875999999971,0.5,8432.0
242,242,4442.423039999971,9501.62303999997,0.6,8432.0
243,243,3599.7703199999705,9496.57031999997,0.7,8424.0
244,244,2733.1103999999705,9664.31039999997,0.7999999999999999,8664.0
245,245,1864.0497599999703,9683.24975999997,0.8999999999999999,8688.0
246,246,996.5895999999702,9668.589599999968,0.9999999999999999,8672.0
247,247,996.5895999999702,9684.589599999968,0.9999999999999999,8688.0
248,248,996.5895999999702,9684.589599999968,0.9999999999999999,8688.0
249,249,996.5895999999702,9660.589599999968,0.9999999999999999,8664.0
250,250,996.5895999999702,9668.589599999968,0.9999999999999999,8672.0
251,251,996.5895999999702,9652.589599999968,0.9999999999999999,8656.0
252,252,1859.5306399999704,9628.33063999997,0.8999999999999999,8632.0
253,253,2721.6719199999707,9620.87191999997,0.7999999999999999,8624.0
254,254,3584.612959999971,9627.012959999971,0.7,8632.0
255,255,4448.353759999971,9632.35375999997,0.6,8640.0
256,256,5310.495039999971,9622.49503999997,0.5,8624.0
257,257,6171.836559999971,9618.23655999997,0.4,8616.0
258,258,7032.378319999971,9614.778319999972,0.30000000000000004,8608.0
259,259,6166.518639999971,9628.91863999997,0.4,8656.0
260,260,5298.258239999971,9638.25823999997,0.5,8680.0
261,261,4431.598319999971,9629.99831999997,0.6,8664.0
262,262,3564.138159999971,9634.538159999971,0.7,8672.0
263,263,2698.278479999971,9623.078479999971,0.7999999999999999,8656.0
264,264,1832.4187999999708,9622.81879999997,0.8999999999999999,8656.0
265,265,967.3593599999707,9615.35935999997,0.9999999999999999,8648.0
266,266,967.3593599999707,9623.35935999997,0.9999999999999999,8656.0
267,267,1831.1001599999709,9607.100159999969,0.8999999999999999,8640.0
268,268,2695.6407199999708,9614.04071999997,0.7999999999999999,8648.0
269,269,3559.381519999971,9607.38151999997,0.7,8640.0
270,270,4421.522799999971,9595.922799999971,0.6,8624.0
271,271,5284.46383999997,9600.463839999971,0.5,8632.0
272,272,6146.60511999997,9596.20511999997,0.4,8624.0
273,273,7008.74639999997,9595.94639999997,0.30000000000000004,8624.0
274,274,6140.48599999997,9612.48599999997,0.4,8680.0
275,275,5274.62631999997,9602.62631999997,0.5,8656.0
276,276,4407.96639999997,9606.36639999997,0.6,8664.0
277,277,3543.7071999999703,9591.70719999997,0.7,8640.0
278,278,4405.048719999971,9574.64871999997,0.6,8616.0
279,279,5266.390239999971,9574.390239999972,0.5,8616.0
280,280,6126.931999999971,9570.13199999997,0.4,8608.0
281,281,6987.473759999971,9569.873759999971,0.30000000000000004,8608.0
282,282,7845.61623999997,9562.416239999971,0.20000000000000004,8584.0
